id,title,mainauthor,publishDate
mdp.39015008917422,The claims of decorative art.,"Crane, Walter, 1845-1915.",1892
mdp.39015011391086,"History of protestant theology particularly in Germany viewed according to its fundamental movement and in connection with the religious, moral, and intellectual life ... Tr. by the Rev. George Robson and Sophia Taylor ... With a preface to the translation by the author.","Dorner, I. A. 1809-1884.",1871
mdp.39015026096308,"On the New Jerusalem, and its heavenly doctrine, as revealed from heaven: to which are prefixed some observations concerning the new heaven & the new earth. Tr. from the Latin of the Hon. Emanuel Swedenborg. Originally published in the year 1758.","Swedenborg, Emanuel, 1688-1772.",1812
mdp.39015032837539,The study of history : its function / by Geo. E. Seymour.,"Seymour, George E.",1889
mdp.39015018049059,"An address, on the necessity of an extension of moral and political instruction among the working classes. By the late R. Detrosier ... With a memoir of the author.","Detrosier, R. 1800?-1834.",1834
mdp.39015012250968,The liberal movement in English literature.,"Courthope, William John, 1842-1917.",1885
mdp.39015063976602,Browning as a philosophical and religious teacher. By Henry Jones.,"Jones, Henry, Sir, 1852-1922.",1891
mdp.39015064371373,The doctrine of life for the New Jerusalem from the commandments of the Decalogue. Tr. from the Latin of Emanuel Swedenborg.,"Swedenborg, Emanuel, 1688-1772.",1821
mdp.39015059818297,"An introduction to the philosophy of primary beliefs,","Lowndes, Richard.",1865
mdp.39015028981515,"The chief works of Benedict de Spinoza, tr. from the Latin, with an introduction by R.H.M. Elwes ...","Spinoza, Benedictus de, 1632-1677.",1887
mdp.39015065152269,"Living with machines,","Ogburn, William F., 1886-1959.",1933
mdp.39015050592453,"Our destiny; the influence of socialism on morals and religion; an essay in ethics,","Gronlund, Laurence, 1846-1899.",1891
mdp.39015063633971,"The Scriptural idea of man; six lectures given before the theological students at Princeton on the L. P. Stone foundation,","Hopkins, Mark, 1802-1887.",1883
mdp.39015050922643,"Lectures on moral philosophy. By the Rev. John Witherspoon ... Carefully revised, and freed from the errors of former editions. To which is added, by the same author, an Address to the students of the senior class, and Letters on education and marriage.","Witherspoon, John, 1723-1794.",1822
mdp.39015032394952,"The ethics of Judaism, / by M. Lazarus, tr. from the German by Henrietta Szold. In four parts, part I-[II]","Lazarus, Moritz, 1824-1903.",1901
mdp.39015066708887,Bulletin.,Purdue University.,1900
mdp.39015020178060,"The human body and its connexion with man, illustrated by the principal organs. By James John Garth Wilkinson.","Wilkinson, James John Garth, 1812-1899",1851
mdp.39015026430986,Psychology: empirical and rational. By Michael Maher.,"Maher, Michael.",1900
mdp.39015031061263,Observations on the colors of flowers.,"Hervey, Eliphalet Williams.",1899
mdp.39015002444522,"The divine right of kings,","Figgis, John Neville, 1866-1919.",1914
mdp.39015011488346,The argument of the secretary of the Treasury upon the constitutionality of a national bank.,"Hamilton, Alexander, 1757-1804.",1800
mdp.39015026099260,"Circular, no. 1-",United States. Public Works Administration.,1933
mdp.39015065129358,Report of the Country life commission.,United States. Country life commission.,1909
mdp.39015010542655,"Religion: a dialogue, and other essays, by Arthur Schopenhauer: selected and tr. by T. B. Saunders. M.A.","Schopenhauer, Arthur, 1788-1860.",1889
mdp.39015048438728,How shall the colored youth of the South be educated? By A. D. Mayo ...,"Mayo, A. D. 1823-1907.",1897
mdp.39015033640148,"Selected list of books in English by U.S. authors, compiled by Books for Latin America project of the American library association.",American Library Association. Books for Latin America project.,1942
mdp.39015031214664,Can we believe in miracles? / by George Warington.,"Warington, George, 1840-1874.",1871
mdp.39015010936485,"Evolutionary naturalism,","Sellars, Roy Wood, 1880-",1922
mdp.39015064319158,Miracles.,"Litton, Edward Arthur, 1813-1897.",1868
mdp.39015009218291,"Intellectual education, and its influence on the character and happiness of women.","Shirreff, Emily Anne Eliza, 1814-1897.",1858
mdp.39015026290950,The essence of Buddhism : with illustrations of Buddhist art / by P. Lakshmi Narasu.,"Lakshmi Narasu, Pokala.",1912
mdp.39015002182593,Marx and Lenin; the science of revolution.,"Eastman, Max, 1883-1969.",1927
mdp.39015068358525,Message ... to the Legislative assembly.,Oregon. Governor.,0000
mdp.39015049221453,"A vindication of the rights of woman, with strictures on political and moral subjects, by Mary Wollstonecraft.","Wollstonecraft, Mary, 1759-1797.",1891
mdp.39015059816408,"Outlines of philosophy and literature,","Vinet, Alexandre Rodolphe, 1797-1847.",1865
mdp.39015067251598,Skeletons of a course of theological lectures ...,"Finney, Charles G., 1792-1875.",1840
mdp.39015006950789,"Addresses at the inauguration of Bryn Mawr college,",Bryn Mawr College.,1886
mdp.39015013746832,"Darwinism and politics, by David G. Ritchie ...","Ritchie, David George, 1853-1903.",1889
mdp.39015068153280,The continuance of Homoeopathy as a distinctive school of medicine...,"Moore, J. H.",1905
mdp.39015028398405,Sociological construction lines ...,"Hayes, Edward Cary, 1868-1928.",1904
mdp.39015039688257,Discourses through the mediumship of Mrs. Cora L. V. Tappan. The new science. Spiritual ethics.,"[Richmond, Cora Linn Victoria Scott], 1840-1923.",1875
mdp.39015059868771,The philosophy of Thomas Hill Green / by W. H. Fairbrother ...,"Fairbrother, W. H. 1859-1927.",1896
mdp.39015048489507,What should secular education embrace? By George Combe ...,"Combe, George, 1788-1858.",1848
mdp.39015031012522,Essays on literary art / by Hiram M. Stanley.,"Stanley, Hiram Miner.",1897
mdp.39015002374885,"Worry: the disease of the age, by C. W. Saleeby.","Saleeby, Caleb Williams, 1878-",1907
